Date : 2022-03-10 17:46:24
Directory : d:\Documents\Capstonefrontend\frontend_capstone\src
Total : 94 files,  15947 codes, 4121 comments, 1057 blanks, all 21125 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |         77 |     13,890 |      3,755 |        759 |     18,404 |
| JavaScript |         15 |      1,900 |        360 |        272 |      2,532 |
| CSS        |          2 |        157 |          6 |         26 |        189 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\profilemanagement\profilecontent.vue                      | Vue        |         11 |        222 |          0 |        233 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\purchase_order_content\purchase_order.vue                 | Vue        |        483 |          4 |         22 |        509 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\purchase_received\received_order.vue                      | Vue        |        413 |          0 |         24 |        437 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\return_orders_content\returnOrders.vue                    | Vue        |        220 |          0 |         23 |        243 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\sales\prodsales.vue                                       | Vue        |        345 |          0 |         21 |        366 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\stocksonhand\stocks_on_hand.vue                           | Vue        |        956 |         15 |         22 |        993 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\system_histories\histories.vue                            | Vue        |        264 |          1 |          7 |        272 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\usrmngmnt_modal\dialog_usermanagement.vue                 | Vue        |          0 |          0 |          1 |          1 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_nav.vue                                                                     | Vue        |        174 |          2 |          4 |        180 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_side.vue                                                                    | Vue        |        448 |          6 |         53 |        507 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\carousel\carousel.vue                                                                             | Vue        |        256 |          3 |         25 |        284 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\cashier_components\cashier_dashboard_content\cashier.css                                          | CSS        |         88 |          1 |          0 |         89 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\cashier_components\cashier_dashboard_content\cashier_index_content.vue                            | Vue        |      1,134 |         19 |         46 |      1,199 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\cashier_components\cashier_dashboard_content\cashier_list_product_added\cashier_list_products.vue | Vue        |         62 |          0 |          5 |         67 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\cashier_components\cashier_dashboard_content\customer_order_list\customerTB.vue                   | Vue        |        773 |          1 |         47 |        821 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\cashier_components\cashiernavbar.vue                                                              | Vue        |        174 |          0 |         15 |        189 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\cashier_components\cashiersidebar.vue                                                             | Vue        |         59 |          0 |         19 |         78 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\content\content.vue                                                                               | Vue        |          2 |          0 |          2 |          4 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\footer.vue                                                                                        | Vue        |         14 |          0 |          2 |         16 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\forgot_content.vue                                                                                | Vue        |         77 |          0 |          3 |         80 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\lockAccount\nav.vue                                                                               | Vue        |          8 |          0 |          3 |         11 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\nav.vue                                                                                           | Vue        |        381 |          8 |         18 |        407 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\steps_content\account_verification.vue                                                            | Vue        |         19 |          0 |          1 |         20 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\steps_content\customer_contact_details.vue                                                        | Vue        |         53 |          0 |          1 |         54 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\steps_content\customer_location.vue                                                               | Vue        |        107 |          1 |          1 |        109 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\steps_content\finish.vue                                                                          | Vue        |         14 |          0 |          0 |         14 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\components\steps_content\personal.vue                                                                        | Vue        |         31 |          0 |          5 |         36 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\config\facebook_oAuth.js                                                                                     | JavaScript |         18 |          0 |          1 |         19 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\config\google_oAuth.js                                                                                       | JavaScript |        133 |          3 |         10 |        146 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\config\utils.js                                                                                              | JavaScript |         18 |         12 |          1 |         31 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\main.js                                                                                                      | JavaScript |         63 |          6 |          9 |         78 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\pos.css                                                                                                      | CSS        |         69 |          5 |         26 |        100 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\router\index.js                                                                                              | JavaScript |        169 |          0 |          7 |        176 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\store\0AuthRequest.js                                                                                        | JavaScript |          8 |          1 |          1 |         10 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\store\handler.js                                                                                             | JavaScript |         10 |          0 |          3 |         13 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\store\index.js                                                                                               | JavaScript |        506 |          0 |          4 |        510 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\store\modules\addqty.js                                                                                      | JavaScript |        108 |          0 |          5 |        113 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\store\modules\buy1take1.js                                                                                   | JavaScript |         49 |          0 |          7 |         56 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\store\modules\customerOrders.js                                                                              | JavaScript |         21 |          0 |          5 |         26 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\store\modules\salesEntry.js                                                                                  | JavaScript |         24 |          0 |          3 |         27 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\store\modules\totalprice.js                                                                                  | JavaScript |         23 |          0 |          4 |         27 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\store\request-common.js                                                                                      | JavaScript |        725 |        334 |        204 |      1,263 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\store\types.js                                                                                               | JavaScript |         25 |          4 |          8 |         37 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\aboutus.vue                                                                                            | Vue        |        215 |          0 |         21 |        236 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\admin.vue                                                                                        | Vue        |        322 |         14 |         36 |        372 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\adminIndex.vue                                                                 | Vue        |         30 |          0 |          3 |         33 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_add_inventory.vue                                                        | Vue        |        460 |          0 |         33 |        493 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_category.vue                                                             | Vue        |         32 |          0 |          3 |         35 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_discount.vue                                                             | Vue        |         30 |          0 |          2 |         32 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_excel.vue                                                                | Vue        |         34 |          0 |          3 |         37 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_histories.vue                                                            | Vue        |         30 |          0 |          4 |         34 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_inventory.vue                                                            | Vue        |         39 |          1 |          4 |         44 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_inventory_reports.vue                                                    | Vue        |         30 |          0 |          7 |         37 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_more_settings.vue                                                        | Vue        |         32 |          0 |          3 |         35 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_product_activation.vue                                                   | Vue        |         31 |          0 |          2 |         33 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_product_bundle.vue                                                       | Vue        |         30 |          0 |          2 |         32 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_product_final.vue                                                        | Vue        |         30 |          0 |          2 |         32 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_profile_management.vue                                                   | Vue        |         37 |          0 |          4 |         41 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_purchase_order.vue                                                       | Vue        |         32 |          0 |          3 |         35 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_received_order.vue                                                       | Vue        |         32 |          0 |          3 |         35 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_return_orders.vue                                                        | Vue        |         30 |          0 |          2 |         32 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_sales.vue                                                                | Vue        |         30 |          0 |          2 |         32 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_stock_on_hand.vue                                                        | Vue        |         30 |          0 |          3 |         33 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_supplier.vue                                                             | Vue        |         32 |          0 |          3 |         35 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_user_management.vue                                                      | Vue        |         30 |          0 |          3 |         33 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\cashier\cashier.vue                                                                                    | Vue        |         35 |          0 |          1 |         36 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\cashier\cashier_dashboard_content\cashierIndex.vue                                                     | Vue        |         31 |          0 |          2 |         33 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\forgot.vue                                                                                             | Vue        |        158 |          0 |          1 |        159 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\index.vue                                                                                              | Vue        |         42 |          0 |          5 |         47 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\lockaccount.vue                                                                                        | Vue        |        357 |          0 |          5 |        362 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\login.vue                                                                                              | Vue        |          0 |          0 |          1 |          1 |
| d:\Documents\Capstonefrontend\frontend_capstone\src\views\registration.vue                                                                                       | Vue        |        291 |         15 |         10 |        316 |
| Total                                                                                                                                                            |            |     15,947 |      4,121 |      1,057 |     21,125 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
